Wall time,Step,Value
1742418010.32706,0,23.0
1742418014.097157,50,20.399999618530273
1742418017.614026,100,19.31999969482422
1742418021.78077,150,19.65999984741211
1742418025.60049,200,19.059999465942383
1742418029.101894,250,19.639999389648438
1742418033.6385548,300,19.3799991607666
1742418036.503197,350,20.18000030517578
1742418039.760546,400,20.1200008392334
1742418043.825064,450,20.700000762939453
1742418047.187052,500,22.739999771118164
1742418052.016352,550,23.040000915527344
1742418057.295985,600,22.5
1742418063.0484219,650,22.959999084472656
1742418066.3570392,700,22.739999771118164
1742418071.8846688,750,26.299999237060547
1742418074.8050208,800,27.440000534057617
1742418080.358676,850,28.68000030517578
1742418086.871495,900,30.399999618530273
1742418091.4834921,950,27.420000076293945
1742418094.968579,1000,25.899999618530273
1742418100.159733,1050,25.799999237060547
1742418105.4663801,1100,30.15999984741211
1742418110.989602,1150,34.79999923706055
1742418117.124747,1200,34.34000015258789
1742418123.6182988,1250,34.31999969482422
1742418128.883584,1300,34.13999938964844
1742418133.848741,1350,36.70000076293945
1742418140.0487192,1400,46.220001220703125
1742418146.9125729,1450,55.599998474121094
1742418151.723487,1500,44.58000183105469
1742418158.728297,1550,42.279998779296875
1742418166.009551,1600,68.26000213623047
1742418175.298717,1650,55.47999954223633
1742418183.222871,1700,96.9000015258789
1742418200.8713531,1750,106.76000213623047
1742418206.533638,1800,109.36000061035156
1742418214.62286,1850,93.63999938964844
1742418237.144104,1900,180.33999633789062
1742418246.839812,1950,126.76000213623047
1742418255.244877,2000,149.22000122070312
1742418263.308052,2050,112.08000183105469
1742418271.735148,2100,147.4199981689453
1742418280.493234,2150,199.66000366210938
1742418288.796702,2200,143.25999450683594
1742418304.689213,2250,91.73999786376953
1742418314.3654048,2300,274.760009765625
1742418322.231595,2350,40.599998474121094
1742418329.450044,2400,38.20000076293945
1742418337.208682,2450,37.060001373291016
1742418344.405768,2500,36.79999923706055
1742418351.3829818,2550,36.84000015258789
1742418358.257328,2600,38.119998931884766
1742418364.976135,2650,40.20000076293945
1742418371.536822,2700,36.97999954223633
1742418378.376423,2750,35.7599983215332
1742418384.904015,2800,32.880001068115234
1742418391.355563,2850,34.29999923706055
1742418398.1021419,2900,38.2400016784668
1742418404.952887,2950,31.799999237060547
